epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,39.6383,0.82975,0.86239,1.06421,0.35854,0.66667,0.49206,0.39895,0.9178,2.07396,1.1108,0.000919704,0.000919704,0.000919704
38,40.6983,0.8279,0.8402,1.04852,0.466,0.79488,0.63429,0.50447,0.85429,1.97547,1.07363,0.000905557,0.000905557,0.000905557
39,41.7642,0.86719,0.878,1.02929,0.25693,0.8,0.45402,0.29866,0.92886,2.2733,1.11465,0.00089141,0.00089141,0.00089141
40,42.7732,0.83868,0.88316,1.03435,0.44056,0.46667,0.30432,0.16847,1.0496,3.63303,1.21544,0.000877263,0.000877263,0.000877263
41,43.7905,0.87452,0.84661,1.0308,0.36096,0.46667,0.28196,0.20415,0.955,4.82919,1.1964,0.000863116,0.000863116,0.000863116
42,44.7642,0.85375,0.82243,1.02361,0.58067,0.54715,0.50785,0.39868,0.84254,2.08738,1.06316,0.000848969,0.000848969,0.000848969
43,45.7737,0.90685,0.78776,1.05273,0.47165,0.69268,0.58776,0.44571,1.08857,1.54775,1.21401,0.000834822,0.000834822,0.000834822
44,46.8339,0.87529,0.78334,1.02888,0.66435,0.66297,0.68378,0.52924,1.11146,1.61747,1.24041,0.000820675,0.000820675,0.000820675
45,47.9154,0.84898,0.79394,1.08721,0.53204,0.73333,0.66475,0.4689,1.10611,1.42397,1.26384,0.000806528,0.000806528,0.000806528
46,49.0048,0.85883,0.77146,1.03442,0.72638,0.73333,0.82649,0.66553,0.8587,1.01217,1.06618,0.00079238,0.00079238,0.00079238
47,50.0348,0.90047,0.79771,1.05073,0.76488,0.67784,0.84542,0.68232,0.8379,1.03764,1.01643,0.000778233,0.000778233,0.000778233
48,51.0864,0.8813,0.80263,1.02564,0.67296,0.62003,0.6827,0.50367,0.98345,2.01752,1.12999,0.000764086,0.000764086,0.000764086
49,52.1288,0.88184,0.82407,1.08083,0.60384,0.59444,0.56714,0.40548,1.07465,3.29001,1.24052,0.000749939,0.000749939,0.000749939
50,53.2032,0.78501,0.80294,0.99952,0.51148,0.59449,0.47899,0.27777,1.19684,4.71461,1.32657,0.000735792,0.000735792,0.000735792
51,54.2073,0.82565,0.88966,1.02294,0.51153,0.69377,0.75192,0.53681,1.07209,3.1407,1.21834,0.000721645,0.000721645,0.000721645
52,55.2598,0.82401,0.8053,1.00957,0.5184,0.81238,0.77715,0.56545,1.00971,2.43983,1.16442,0.000707498,0.000707498,0.000707498
53,56.2812,0.84011,0.71469,1.0421,0.84993,0.46667,0.78403,0.54082,1.04065,2.61193,1.14791,0.000693351,0.000693351,0.000693351
54,57.3234,0.79223,0.72912,1.00818,0.84036,0.50725,0.78761,0.5838,1.05777,2.25548,1.17264,0.000679204,0.000679204,0.000679204
55,58.4464,0.78106,0.74802,1.01656,0.78315,0.53333,0.81235,0.60938,1.00036,1.84839,1.14289,0.000665057,0.000665057,0.000665057
56,59.5395,0.82812,0.78601,1.00518,0.71296,0.62259,0.74833,0.58427,0.94752,1.6539,1.10004,0.000650909,0.000650909,0.000650909
57,60.5907,0.82,0.73108,1.04887,0.78716,0.61283,0.78865,0.6034,0.88631,1.6256,1.06524,0.000636762,0.000636762,0.000636762
58,61.6594,0.79776,0.71089,1.05607,0.81408,0.66667,0.85461,0.69166,0.82642,1.41537,1.02936,0.000622615,0.000622615,0.000622615
59,62.7396,0.74737,0.7679,1.0343,0.85465,0.74706,0.92706,0.75173,0.81919,0.81938,1.01977,0.000608468,0.000608468,0.000608468
60,63.7653,0.77966,0.67021,1.0178,0.80511,0.91237,0.94579,0.76078,0.82914,0.72421,1.04733,0.000594321,0.000594321,0.000594321
61,64.8192,0.79724,0.63275,1.03468,0.91591,0.81659,0.9241,0.73645,0.84308,0.79226,1.05523,0.000580174,0.000580174,0.000580174
62,65.8007,0.75879,0.60884,1.00129,0.80786,0.85576,0.91444,0.73194,0.83438,0.88589,1.04435,0.000566027,0.000566027,0.000566027
63,66.7988,0.786,0.63713,0.96816,0.81862,0.76583,0.93204,0.74813,0.8312,1.02511,1.03273,0.00055188,0.00055188,0.00055188
64,67.844,0.8163,0.63731,1.02071,0.82713,0.75181,0.91722,0.73408,0.8002,0.95656,1.01372,0.000537733,0.000537733,0.000537733
65,68.963,0.80145,0.68672,1.00037,0.82381,0.76954,0.91167,0.7428,0.79362,1.00912,1.01218,0.000523586,0.000523586,0.000523586
66,69.9462,0.73974,0.59222,0.96112,0.81674,0.77622,0.92944,0.76735,0.8021,1.0217,1.02364,0.000509438,0.000509438,0.000509438
67,71.0227,0.76214,0.59343,1.03466,0.82157,0.85533,0.94278,0.77217,0.7907,0.95651,1.01088,0.000495291,0.000495291,0.000495291
68,72.0903,0.75032,0.64646,1.01183,0.82703,0.84079,0.89318,0.72176,0.84187,0.9586,1.05286,0.000481144,0.000481144,0.000481144
69,73.1207,0.76704,0.60331,1.02197,0.82241,0.82673,0.90114,0.70525,0.84066,0.90135,1.04271,0.000466997,0.000466997,0.000466997
70,74.1623,0.73248,0.54138,0.98359,0.89708,0.82028,0.90223,0.71241,0.82754,0.85816,1.02871,0.00045285,0.00045285,0.00045285
71,75.1857,0.73892,0.59037,1.02044,0.87807,0.84498,0.89493,0.71447,0.84208,0.73256,1.05179,0.000438703,0.000438703,0.000438703
72,76.2531,0.73376,0.59192,0.95766,0.90605,0.89699,0.91722,0.72269,0.86002,0.64193,1.05518,0.000424556,0.000424556,0.000424556
73,77.226,0.73806,0.55473,0.94347,0.71656,0.92008,0.89278,0.70591,0.86669,0.72985,1.07019,0.000410409,0.000410409,0.000410409
74,78.2673,0.72755,0.53799,0.93878,0.91857,0.90233,0.95373,0.75017,0.87279,0.5873,1.07893,0.000396262,0.000396262,0.000396262
75,79.4138,0.73601,0.56634,0.98901,0.95814,1,0.995,0.78523,0.8649,0.41581,1.08213,0.000382115,0.000382115,0.000382115
76,80.5111,0.7322,0.55275,0.99345,0.85091,1,0.995,0.78599,0.85177,0.43604,1.09441,0.000367967,0.000367967,0.000367967
77,81.5697,0.67388,0.51468,0.97688,0.93342,0.87385,0.995,0.78172,0.88764,0.49879,1.11211,0.00035382,0.00035382,0.00035382
78,82.6915,0.73214,0.55787,1.0031,0.91993,0.8851,0.98389,0.77674,0.92458,0.56737,1.10808,0.000339673,0.000339673,0.000339673
79,83.756,0.66313,0.47119,0.9791,0.88675,0.90027,0.96167,0.74818,0.92326,0.58193,1.08676,0.000325526,0.000325526,0.000325526
80,84.7712,0.76707,0.53057,0.98559,0.91035,0.92507,0.96167,0.7602,0.86285,0.52419,1.04144,0.000311379,0.000311379,0.000311379
81,85.8041,0.73235,0.45692,1.01482,0.93084,0.93333,0.97595,0.77405,0.79109,0.47516,1.00516,0.000297232,0.000297232,0.000297232
82,86.7915,0.65371,0.51575,0.97959,0.93865,0.90283,0.98389,0.81443,0.74749,0.42395,0.99217,0.000283085,0.000283085,0.000283085
83,87.8245,0.72789,0.57891,0.99445,0.91858,0.98593,0.995,0.82506,0.74179,0.41204,0.99127,0.000268938,0.000268938,0.000268938
84,88.8135,0.6942,0.48353,0.97739,0.93971,0.88526,0.97595,0.81648,0.74256,0.44891,0.99663,0.000254791,0.000254791,0.000254791
85,89.8964,0.63014,0.46449,0.96529,0.87429,0.92067,0.96484,0.81084,0.75409,0.50026,1.0003,0.000240644,0.000240644,0.000240644
86,90.934,0.65229,0.49526,0.98563,0.92816,0.93333,0.94262,0.78088,0.77796,0.51432,1.01281,0.000226497,0.000226497,0.000226497
87,91.9236,0.71935,0.53453,1.0004,0.82413,0.93333,0.92929,0.73892,0.81914,0.5387,1.02444,0.000212349,0.000212349,0.000212349
88,92.9255,0.71932,0.44496,0.95404,0.7601,0.94571,0.91722,0.74108,0.83382,0.57805,1.02983,0.000198202,0.000198202,0.000198202
89,93.931,0.68587,0.44499,0.96918,0.72894,0.98366,0.91722,0.73973,0.80989,0.58878,1.01992,0.000184055,0.000184055,0.000184055
90,94.929,0.70125,0.49128,1.00309,0.75482,0.9812,0.95056,0.77754,0.76449,0.59404,1.01068,0.000169908,0.000169908,0.000169908
91,99.4209,0.63129,0.3813,0.95814,0.74927,1,0.96167,0.80092,0.75464,0.55094,1.01008,0.000155761,0.000155761,0.000155761
92,100.542,0.63338,0.37525,0.94548,0.77538,1,0.96167,0.80767,0.77204,0.49763,1.01704,0.000141614,0.000141614,0.000141614
93,101.582,0.66553,0.35039,1.0007,0.87606,0.92492,0.97278,0.81211,0.79188,0.46922,1.02717,0.000127467,0.000127467,0.000127467
94,102.732,0.61464,0.32041,0.95847,0.88969,0.96867,0.97278,0.77614,0.8147,0.453,1.04409,0.00011332,0.00011332,0.00011332
95,103.855,0.58225,0.31595,0.95571,0.88782,0.96774,0.98389,0.79882,0.83242,0.43977,1.05662,9.91726e-05,9.91726e-05,9.91726e-05
96,104.901,0.58179,0.30393,0.91028,0.88609,0.95572,0.98389,0.79573,0.83958,0.44667,1.05724,8.50255e-05,8.50255e-05,8.50255e-05
97,105.931,0.59836,0.30699,0.98195,0.88167,0.95481,0.98389,0.78552,0.83772,0.44781,1.05395,7.08784e-05,7.08784e-05,7.08784e-05
98,106.923,0.60623,0.31104,0.93438,0.88492,0.96068,0.98389,0.7841,0.83,0.44181,1.04569,5.67313e-05,5.67313e-05,5.67313e-05
99,107.921,0.60608,0.3534,0.96065,0.88084,0.98997,0.98389,0.80484,0.82339,0.42544,1.03803,4.25842e-05,4.25842e-05,4.25842e-05
100,108.9,0.59232,0.30519,0.97001,0.88294,0.99728,0.98389,0.81022,0.8154,0.4132,1.03195,2.84371e-05,2.84371e-05,2.84371e-05
