epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.77075,1.54963,4.78213,1.86075,0.00559,0.33333,0.00545,0.00282,1.85545,5.62868,1.92225,4.287e-05,4.287e-05,4.287e-05
2,2.69399,1.74033,4.92215,2.02241,0.1502,0.6,0.32843,0.15937,1.50927,3.47155,1.56631,9.90397e-05,9.90397e-05,9.90397e-05
3,4.03452,1.214,3.10489,1.34176,0.54108,0.66667,0.58453,0.44171,0.88351,2.09681,1.12162,0.000154078,0.000154078,0.000154078
4,5.23,0.94352,2.5677,1.16719,0.33094,1,0.49746,0.38863,1.03475,2.73723,1.18857,0.000207984,0.000207984,0.000207984
5,6.25333,0.97132,2.28708,1.18499,0.77432,0.65302,0.70713,0.54387,1.08052,3.00236,1.33639,0.000260758,0.000260758,0.000260758
6,7.37238,0.93169,1.92295,1.14502,0.47178,0.90189,0.57049,0.42261,0.97213,2.60135,1.17379,0.000312401,0.000312401,0.000312401
7,8.42471,0.90724,1.77833,1.0879,0.39809,0.79373,0.56699,0.44887,0.8438,2.16035,1.04925,0.000362912,0.000362912,0.000362912
8,9.49063,0.91516,1.65329,1.09983,0.33366,0.98811,0.47552,0.37241,0.84888,2.1429,1.02323,0.000412291,0.000412291,0.000412291
9,10.5378,0.96075,1.49899,1.18196,0.25392,0.86667,0.44503,0.37097,0.81852,2.54147,1.06344,0.000460538,0.000460538,0.000460538
10,11.6298,0.97478,1.52683,1.13497,0.4736,0.79671,0.53867,0.3907,0.92796,2.44555,1.15038,0.000507654,0.000507654,0.000507654
11,12.6691,0.92895,1.56482,1.09142,0.47754,0.86667,0.6569,0.48121,0.99756,1.87971,1.14726,0.000553637,0.000553637,0.000553637
12,13.7479,0.98936,1.48876,1.15605,0.27867,0.95449,0.47442,0.32157,1.17333,2.07481,1.28,0.000598489,0.000598489,0.000598489
13,14.7689,0.96178,1.48275,1.11646,0.11206,0.27613,0.11232,0.017,3.88879,3.60847,3.40618,0.00064221,0.00064221,0.00064221
14,15.8772,0.99626,1.36559,1.13467,0.42227,0.26667,0.08835,0.02766,3.61068,3.2416,3.1252,0.000684798,0.000684798,0.000684798
15,16.9396,0.94984,1.25102,1.12961,0.44243,0.13333,0.12417,0.02947,3.59744,3.75459,3.17599,0.000726255,0.000726255,0.000726255
16,17.9793,0.91653,1.21068,1.08103,0.00196,0.26667,0.01924,0.0088,3.96743,3.99486,3.8309,0.00076658,0.00076658,0.00076658
17,19.0543,0.91731,1.24087,1.10069,0.00103,0.06667,0.00542,0.00106,4.73111,3.96891,4.80494,0.000805773,0.000805773,0.000805773
18,20.1277,0.96492,1.22065,1.07952,0.61271,0.4,0.33945,0.2582,1.29164,2.05934,1.46493,0.000843835,0.000843835,0.000843835
19,21.1926,0.99693,1.26437,1.1422,0.31615,0.53333,0.46536,0.31831,1.23585,1.89768,1.34655,0.000880764,0.000880764,0.000880764
20,22.2355,0.92888,1.26237,1.09023,0.64844,0.78165,0.81917,0.53915,1.18233,1.20068,1.44283,0.000916562,0.000916562,0.000916562
21,23.2346,0.97609,1.19639,1.09066,0.60585,0.6,0.50843,0.34164,1.16031,1.84023,1.43391,0.000951228,0.000951228,0.000951228
22,24.2207,0.98346,1.10189,1.10905,0.59637,0.6,0.48369,0.35491,1.03394,1.58425,1.24305,0.000984762,0.000984762,0.000984762
23,25.2183,0.96746,1.1583,1.08431,0.23741,0.86667,0.49753,0.36894,1.10032,1.46913,1.24479,0.00101717,0.00101717,0.00101717
24,26.3316,0.92116,1.06798,1.10277,0.5271,0.57623,0.53213,0.36687,1.09057,1.40817,1.2703,0.00104844,0.00104844,0.00104844
25,27.3104,0.87639,0.99668,1.07451,0.4817,0.66667,0.59358,0.40817,1.268,1.48517,1.45231,0.00107857,0.00107857,0.00107857
26,28.3168,0.88286,1.15396,1.06637,0.43056,0.6,0.60337,0.44118,1.04816,1.49934,1.24628,0.00107532,0.00107532,0.00107532
27,29.3076,0.81963,1.07446,1.04215,0.36255,0.31426,0.19681,0.1221,1.46205,3.5906,1.59875,0.00106118,0.00106118,0.00106118
28,30.2748,0.86833,1.05004,1.04863,0.39114,0.55333,0.45163,0.34812,1.13242,2.25813,1.3703,0.00104703,0.00104703,0.00104703
29,31.3001,0.84551,0.98354,1.03113,0.66423,0.33333,0.34641,0.26899,1.19317,2.60422,1.27337,0.00103288,0.00103288,0.00103288
30,32.3334,0.89391,1.03165,1.09012,0.12731,0.46667,0.17866,0.11158,1.78161,3.99328,1.7442,0.00101873,0.00101873,0.00101873
31,33.3513,0.88604,1.00134,1.06681,0.49075,0.13333,0.07074,0.0467,2.48284,4.54426,2.49588,0.00100459,0.00100459,0.00100459
32,34.3613,0.91435,0.98262,1.0209,0.63925,0.2,0.20914,0.11102,1.89937,4.37916,1.83836,0.00099044,0.00099044,0.00099044
33,35.3688,0.88534,1.03533,1.0412,0.17135,0.45953,0.21808,0.15392,1.58722,3.42983,1.5177,0.000976293,0.000976293,0.000976293
34,36.3605,0.82693,0.77827,1.00374,0.34077,0.33333,0.27622,0.15014,1.6142,2.64657,1.68022,0.000962146,0.000962146,0.000962146
35,37.5581,0.90489,0.92589,1.10109,0.25721,0.24648,0.17043,0.12998,1.62794,3.01981,1.60314,0.000947999,0.000947999,0.000947999
36,38.5934,0.82443,0.90411,1.08545,0.28205,0.42023,0.30563,0.23097,1.12149,2.50257,1.22075,0.000933851,0.000933851,0.000933851
